"latitudeE7","longitudeE7","accuracy","velocity","altitude","verticalAccuracy","source","deviceTag","platformType","locationMetadata","osLevel","serverTimestamp","deviceTimestamp","batteryCharging","formFactor","inferredLocation","timestamp","activeWifiScan.accessPoints"
523841177,131341757,17,0,83,2,"GPS",9999,"ANDROID","[{""wifiScan"":{""accessPoints"":[{""mac"":""194553570908629"",""strength"":-53,""frequencyMhz"":5580},{""mac"":""137435954836661"",""strength"":-53,""frequencyMhz"":2462},{""mac"":""194553570908628"",""strength"":-57,""frequencyMhz"":2412},{""mac"":""260211675657393"",""strength"":-69,""frequencyMhz"":2462},{""mac"":""136421539560530"",""strength"":-72,""frequencyMhz"":2437},{""mac"":""108051592097058"",""strength"":-72,""frequencyMhz"":5745},{""mac"":""260211675657394"",""strength"":-81,""frequencyMhz"":5240},{""mac"":""136421539560529"",""strength"":-84,""frequencyMhz"":5180},{""mac"":""13759369994952"",""strength"":-85,""frequencyMhz"":2412},{""mac"":""104433116894687"",""strength"":-88,""frequencyMhz"":2437},{""mac"":""260211675657311"",""strength"":-90,""frequencyMhz"":5200},{""mac"":""167794893861817"",""strength"":-93,""frequencyMhz"":5580}]},""timestamp"":""2024-08-05T12:15:35.276Z""},{""wifiScan"":{""accessPoints"":[{""mac"":""194553570908628"",""strength"":-55,""frequencyMhz"":2412},{""mac"":""137435954836661"",""strength"":-56,""frequencyMhz"":2462},{""mac"":""136421539560530"",""strength"":-74,""frequencyMhz"":2437},{""mac"":""260211675657310"",""strength"":-76,""frequencyMhz"":2412},{""mac"":""167794893861818"",""strength"":-79,""frequencyMhz"":2437},{""mac"":""4880531075038"",""strength"":-81,""frequencyMhz"":2437},{""mac"":""260211675657394"",""strength"":-82,""frequencyMhz"":5240},{""mac"":""136421539560529"",""strength"":-84,""frequencyMhz"":5180},{""mac"":""13759369994952"",""strength"":-86,""frequencyMhz"":2412},{""mac"":""163382962994398"",""strength"":-87,""frequencyMhz"":2462},{""mac"":""260211675657311"",""strength"":-91,""frequencyMhz"":5200}]},""timestamp"":""2024-08-05T12:15:20.275Z""}]",30,"2024-08-05T12:19:26.572Z","2024-08-05T12:19:25.316Z",TRUE,"PHONE","[{""timestamp"":""2024-08-05T12:15:35.276Z"",""latitudeE7"":523841038,""longitudeE7"":131341737,""accuracy"":12},{""timestamp"":""2024-08-05T12:15:20.275Z"",""latitudeE7"":523841090,""longitudeE7"":131341610,""accuracy"":11}]","2024-08-05T12:15:21.193Z","{}"
523840977,131341726,13,NA,83,1,"WIFI",9999,"ANDROID","{}",30,"2024-08-05T12:19:26.572Z","2024-08-05T12:19:25.316Z",TRUE,"PHONE","{}","2024-08-05T12:18:23.934Z","[{""mac"":""194553570908628"",""strength"":-51,""frequencyMhz"":2412},{""mac"":""137435954836661"",""strength"":-59,""frequencyMhz"":2462},{""mac"":""136421539560530"",""strength"":-66,""frequencyMhz"":2437},{""mac"":""260211675657393"",""strength"":-66,""frequencyMhz"":2462},{""mac"":""136421539560529"",""strength"":-76,""frequencyMhz"":5180},{""mac"":""13759369994952"",""strength"":-79,""frequencyMhz"":2412},{""mac"":""4880531075038"",""strength"":-80,""frequencyMhz"":2437},{""mac"":""167794893861818"",""strength"":-82,""frequencyMhz"":2437},{""mac"":""5175402723512"",""strength"":-86,""frequencyMhz"":2462},{""mac"":""260211675657394"",""strength"":-87,""frequencyMhz"":5240},{""mac"":""4880531075039"",""strength"":-94,""frequencyMhz"":5180}]"
523841169,131341658,3,0,83,1,"GPS",9999,"ANDROID","[{""wifiScan"":{""accessPoints"":[{""mac"":""194553570908629"",""strength"":-48,""frequencyMhz"":5580},{""mac"":""194553570908628"",""strength"":-51,""frequencyMhz"":2412},{""mac"":""137435954836661"",""strength"":-58,""frequencyMhz"":2462},{""mac"":""136421539560530"",""strength"":-66,""frequencyMhz"":2437},{""mac"":""136421539560529"",""strength"":-75,""frequencyMhz"":5180},{""mac"":""2349484253458"",""strength"":-76,""frequencyMhz"":2412},{""mac"":""167794893861818"",""strength"":-79,""frequencyMhz"":2437},{""mac"":""260211675657394"",""strength"":-85,""frequencyMhz"":5240},{""mac"":""167794893861817"",""strength"":-87,""frequencyMhz"":5580}]},""timestamp"":""2024-08-05T12:18:54.008Z""},{""wifiScan"":{""accessPoints"":[{""mac"":""194553570908629"",""strength"":-47,""frequencyMhz"":5580},{""mac"":""194553570908628"",""strength"":-54,""frequencyMhz"":2412},{""mac"":""137435954836661"",""strength"":-57,""frequencyMhz"":2462},{""mac"":""136421539560530"",""strength"":-68,""frequencyMhz"":2437},{""mac"":""260211675657393"",""strength"":-68,""frequencyMhz"":2462},{""mac"":""136421539560529"",""strength"":-75,""frequencyMhz"":5180},{""mac"":""4880531075038"",""strength"":-79,""frequencyMhz"":2437},{""mac"":""167794893861818"",""strength"":-81,""frequencyMhz"":2437},{""mac"":""260211675657394"",""strength"":-85,""frequencyMhz"":5240},{""mac"":""167794893861817"",""strength"":-87,""frequencyMhz"":5580},{""mac"":""260211675657311"",""strength"":-88,""frequencyMhz"":5200},{""mac"":""97358105774306"",""strength"":-91,""frequencyMhz"":5180}]},""timestamp"":""2024-08-05T12:18:38.978Z""}]",30,"2024-08-05T12:19:26.572Z","2024-08-05T12:19:25.316Z",TRUE,"PHONE","[{""timestamp"":""2024-08-05T12:18:54.008Z"",""latitudeE7"":523840987,""longitudeE7"":131341522,""accuracy"":13},{""timestamp"":""2024-08-05T12:18:38.978Z"",""latitudeE7"":523841054,""longitudeE7"":131341599,""accuracy"":13}]","2024-08-05T12:18:52.174Z","{}"
523841169,131341656,3,0,83,1,"GPS",9999,"ANDROID","[{""wifiScan"":{""accessPoints"":[{""mac"":""137435954836661"",""strength"":-51,""frequencyMhz"":2462},{""mac"":""194553570908629"",""strength"":-54,""frequencyMhz"":5580},{""mac"":""194553570908628"",""strength"":-54,""frequencyMhz"":2412},{""mac"":""260211675657393"",""strength"":-66,""frequencyMhz"":2462},{""mac"":""136421539560530"",""strength"":-68,""frequencyMhz"":2437},{""mac"":""136421539560529"",""strength"":-77,""frequencyMhz"":5180},{""mac"":""167794893861818"",""strength"":-79,""frequencyMhz"":2437},{""mac"":""5175402723512"",""strength"":-83,""frequencyMhz"":2462},{""mac"":""260211675657394"",""strength"":-85,""frequencyMhz"":5240},{""mac"":""167794893861817"",""strength"":-86,""frequencyMhz"":5580},{""mac"":""163382962994398"",""strength"":-86,""frequencyMhz"":2462},{""mac"":""260211675657311"",""strength"":-87,""frequencyMhz"":5200},{""mac"":""13759369994956"",""strength"":-93,""frequencyMhz"":5180}]},""timestamp"":""2024-08-05T12:19:09.032Z""}]",30,"2024-08-05T12:19:26.572Z","2024-08-05T12:19:25.316Z",TRUE,"PHONE","[{""timestamp"":""2024-08-05T12:19:09.032Z"",""latitudeE7"":523841031,""longitudeE7"":131341743,""accuracy"":13}]","2024-08-05T12:19:22.585Z","{}"
523841169,131341656,3,0,83,1,"GPS",9999,"ANDROID","{}",30,"2024-08-05T12:19:26.833Z","2024-08-05T12:19:25.868Z",TRUE,"PHONE","{}","2024-08-05T12:19:25.171Z","{}"
